	sector	community_name	group_category	category	count	resident_count	date	year
340	SOUTHEAST	NEW BRIGHTON	Crime	Theft FROM Vehicle	5	13103	2019-11-01T00:00:00.000	2019
341	NORTHEAST	SKYLINE EAST	Disorder	Social Disorder	4	0	2019-11-01T00:00:00.000	2019
342	SOUTH	SUNDANCE	Disorder	Physical Disorder	1	9736	2019-11-01T00:00:00.000	2019
343	NORTHEAST	WESTWINDS	Crime	Commercial Robbery	1	0	2019-11-01T00:00:00.000	2019
344	SOUTHEAST	DOUGLASDALE/GLEN	Crime	Theft FROM Vehicle	4	12881	2019-11-01T00:00:00.000	2019
345	NORTHEAST	REDSTONE	Crime	Theft OF Vehicle	1	5848	2019-11-01T00:00:00.000	2019
346	NORTHWEST	ROYAL VISTA	Disorder	Social Disorder	9	0	2019-11-01T00:00:00.000	2019
347	NORTHWEST	UNIVERSITY OF CALGARY	Disorder	Social Disorder	55	2367	2019-11-01T00:00:00.000	2019
348	NORTHWEST	RANCHLANDS	Crime	Assault (Non-domestic)	1	7607	2019-11-01T00:00:00.000	2019
349	NORTHEAST	MERIDIAN	Crime	Theft FROM Vehicle	2	0	2019-11-01T00:00:00.000	2019
350	SOUTHEAST	SOUTH FOOTHILLS	Crime	Theft OF Vehicle	1	0	2019-11-01T00:00:00.000	2019
351	SOUTH	OAKRIDGE	Crime	Theft OF Vehicle	1	5690	2019-11-01T00:00:00.000	2019
352	SOUTH	SHAWNEE SLOPES	Disorder	Social Disorder	2	1911	2019-11-01T00:00:00.000	2019
353	NORTHWEST	MONTGOMERY	Crime	Street Robbery	1	4515	2019-11-01T00:00:00.000	2019
354	WEST	SIGNAL HILL	Disorder	Physical Disorder	6	13395	2019-11-01T00:00:00.000	2019
355	NORTHWEST	ROYAL OAK	Disorder	Social Disorder	11	11706	2019-11-01T00:00:00.000	2019
356	SOUTH	WALDEN	Crime	Theft OF Vehicle	5	6228	2019-11-01T00:00:00.000	2019
357	WEST	CRESTMONT	Crime	Theft FROM Vehicle	1	1690	2019-11-01T00:00:00.000	2019
